quarantine_id,source_file,source_row_num,article_id,failure_stage,failure_reason,raw_value,best_candidate,match_score,batch_id
c6989422d94d1a89,tech_news.csv,0,ART0001,arr_parse,missing,,,,BATCH_20260809T164702
c460146810f20822,tech_news.csv,2,ART0003,arr_parse,missing,,,,BATCH_20260809T164702
995e019a553a2bc5,tech_news.csv,4,ART0005,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
197f7e8075ef03f2,tech_news.csv,7,ART0008,arr_parse,missing,,,,BATCH_20260809T164702
c9add148278d7c28,tech_news.csv,11,ART0012,arr_parse,missing,N/A,,,BATCH_20260809T164702
d1de62a540876ccd,tech_news.csv,17,ART0018,arr_parse,missing,,,,BATCH_20260809T164702
d1f8a1c64b455b0a,tech_news.csv,24,ART0025,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
64bc536f5961dd3e,tech_news.csv,25,ART0026,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
a7a9b3da9d5c2856,tech_news.csv,26,ART0027,arr_parse,missing,,,,BATCH_20260809T164702
75d86cbe57823216,tech_news.csv,29,ART0030,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
5aee7981b02198ee,tech_news.csv,31,ART0032,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
10db4867cd2589e8,tech_news.csv,34,ART0035,arr_parse,missing,N/A,,,BATCH_20260809T164702
4c2c516dc0686823,tech_news.csv,36,ART0037,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
86da5a5a58c7ca19,tech_news.csv,41,ART0042,arr_parse,missing,N/A,,,BATCH_20260809T164702
efc80b6fcb2d5cf8,tech_news.csv,42,ART0043,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
9b2c77dc0f3a941f,tech_news.csv,43,ART0044,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
1122be820181bb41,tech_news.csv,46,ART0047,arr_parse,not_disclosed,Not disclosed,,,BATCH_20260809T164702
724fd687e41fcfa3,tech_news.csv,47,ART0048,arr_parse,missing,,,,BATCH_20260809T164702
